registrationDate,activityId,residentId
2025-10-22,75,939
2023-09-19,12,49
2026-05-06,120,258
2026-09-28,147,968
2023-12-16,140,859
2024-12-01,348,940
2026-10-30,58,815
2024-07-01,202,186
2023-09-30,350,684
2024-06-26,50,630
2023-07-09,66,769
2026-11-19,248,185
2024-05-06,360,916
2026-08-10,206,961
2023-01-06,224,778
2026-04-21,56,808
2025-07-06,29,924
2025-09-02,264,321
2023-02-04,25,501
2024-11-26,243,465
2026-08-24,99,5
2024-06-21,340,867
2026-06-11,276,944
2026-07-10,242,676
2026-06-24,242,453
2023-10-23,38,12
2025-02-05,193,745
2024-11-02,318,646
2023-06-20,252,107
2024-08-21,265,50
2024-09-13,65,551
2026-11-04,51,437
2026-12-08,375,711
2024-10-09,300,999
2024-06-27,189,48
2026-10-24,64,815
2025-08-07,345,810
2025-08-10,10,193
2026-11-25,68,92
2026-11-19,85,270
2024-07-19,105,983
2025-03-28,338,716
2025-05-10,227,124
2026-09-03,131,185
2024-09-30,388,136
2026-07-24,362,677
2026-11-19,103,342
2025-03-26,391,813
2025-04-17,226,38
2025-03-27,151,912
2023-02-26,286,900
2023-12-07,35,9
2023-10-16,387,509
2025-07-07,392,223
2023-09-03,180,168
2025-04-23,230,638
2026-02-20,113,353
2024-04-02,333,347
2026-04-17,313,3
2024-05-27,268,824
2026-12-27,5,611
2025-09-03,318,540
2025-05-27,48,96
2023-12-01,374,583
2023-01-12,188,71
2023-07-23,133,83
2023-09-11,232,880
2026-02-12,175,17
2024-05-13,322,909
2023-03-12,75,206
2025-09-08,163,737
2026-11-01,295,99
2023-07-17,100,400
2025-10-03,284,935
2023-07-22,226,18
2025-04-06,237,519
2025-06-25,313,738
2025-09-25,117,256
2024-05-16,372,101
2023-11-04,22,797
2024-07-16,279,905
2025-12-21,67,274
2025-01-31,366,860
2023-06-20,124,172
2026-04-22,375,742
2026-10-11,192,645
2025-02-18,334,600
2023-01-29,399,371
2025-07-29,355,390
2026-06-02,303,92
2023-04-13,250,884
2023-09-09,244,632
2023-07-20,149,186
2023-04-07,338,837
2023-01-09,323,468
2023-07-27,69,143
2024-10-19,50,896
2025-03-14,131,63
2024-05-14,240,731
2024-08-29,270,156
2025-06-30,300,249
2023-03-01,46,661
2023-07-23,164,442
2025-10-25,266,794
2025-03-03,392,24
2023-01-13,332,274
2025-01-10,103,418
2023-05-17,137,982
2024-11-14,171,317
2024-12-06,168,280
2025-11-24,6,12
2026-04-09,386,904
2023-01-01,363,218
2026-02-24,250,471
2025-05-29,164,635
2023-08-26,366,422
2023-09-12,138,777
2025-10-07,208,96
2023-05-18,274,780
2023-01-13,240,159
2023-04-22,182,114
2023-06-20,315,489
2024-12-28,281,243
2026-07-09,13,155
2026-01-14,342,458
2023-09-02,222,762
2025-08-10,272,397
2024-11-07,86,951
2024-10-09,247,391
2024-06-06,364,870
2026-08-18,358,272
2024-05-04,238,479
2026-05-24,208,642
2023-01-31,22,906
2025-05-25,280,939
2024-07-02,229,293
2026-04-09,398,91
2023-09-07,109,132
2023-08-09,285,266
2025-04-09,157,789
2024-06-19,22,125
2024-05-01,309,176
2024-12-21,95,589
2025-11-24,130,190
2026-05-05,357,933
2024-01-24,5,649
2024-09-30,345,508
2023-06-29,63,663
2026-07-01,288,585
2025-09-08,56,685
2023-05-15,329,287
2025-10-19,159,370
2026-09-26,84,82
2026-04-24,350,991
2023-10-29,331,656
2024-04-11,103,234
2025-10-19,302,116
2023-12-24,36,656
2025-09-07,258,551
2023-11-12,208,930
2024-05-17,369,568
2025-11-14,115,395
2023-02-27,322,628
2023-04-15,207,223
2024-03-13,136,5
2025-05-27,79,548
2026-11-30,69,351
2025-06-04,246,560
2024-01-08,194,620
2023-05-20,15,270
2024-04-08,79,990
2023-11-27,327,389
2024-06-15,139,28
2023-03-31,94,277
2026-03-21,224,36
2026-03-01,356,386
2026-04-11,198,701
2024-02-20,341,360
2025-06-16,40,1
2026-04-07,363,766
2023-08-12,245,801
2025-05-07,191,790
2026-05-09,276,212
2025-07-26,25,789
2023-05-11,343,204
2023-01-11,320,640
2023-11-11,43,322
2025-09-02,370,872
2023-01-13,229,987
2024-02-19,87,562
2026-10-05,128,107
2023-02-01,96,839
2026-01-11,313,923
2024-04-30,249,926
2026-04-27,371,252
2026-11-16,354,914
2025-05-12,228,214
2023-01-28,180,623
2023-04-01,22,520
2023-10-04,117,935
2025-06-26,292,61
2024-04-15,154,740
2023-04-07,34,782
2024-08-01,154,904
2023-03-28,156,813
2025-07-14,151,55
2023-10-02,7,652
2025-11-10,345,362
2026-05-09,93,118
2023-04-06,133,735
2026-08-29,179,565
2023-04-08,361,256
2024-06-14,226,166
2023-03-24,122,201
2024-05-07,122,790
2025-01-19,277,181
2025-12-28,241,692
2025-06-26,130,686
2026-10-08,268,695
2024-05-26,141,79
2024-01-07,96,551
2025-11-02,83,350
2025-06-01,187,777
2026-02-20,184,565
2025-04-10,339,577
